price_lkr,brand,model,year,mileage_km,fuel_type,engine_capacity_cc,transmission
6450000.0,Toyota,Corolla,2006,137250.0,Petrol,1500.0,Automatic
30000000.0,Mercedes Benz,E180,2019,27000.0,Petrol,1497.0,Tiptronic
8450000.0,Suzuki,Spacia,2023,20000.0,Hybrid,660.0,Automatic
34500000.0,Bmw,I8,2018,30000.0,Hybrid,1500.0,Automatic
3990000.0,Suzuki,Alto,2015,59774.0,Petrol,800.0,Manual
16200000.0,Toyota,Yaris Ativ,2025,0.0,Petrol,1200.0,Tiptronic
8250000.0,Toyota,Vitz,2019,95000.0,Petrol,1000.0,Automatic
10700000.0,Honda,Vezel,2015,45000.0,Hybrid,1500.0,Automatic
19800000.0,Mercedes Benz,S350,2011,166000.0,Petrol,3500.0,Tiptronic
7300000.0,Toyota,Axio,2007,183000.0,Petrol,1500.0,Automatic
5975000.0,Suzuki,Hustler,2016,86500.0,Hybrid,660.0,Automatic
12700000.0,Audi,A3,2019,117000.0,Petrol,1000.0,Automatic
8400000.0,Toyota,Vitz,2018,61000.0,Petrol,990.0,Automatic
54900000.0,Toyota,Land Cruiser Prado,2024,8700.0,Petrol,2700.0,Automatic
1765000.0,Suzuki,Maruti,2004,225000.0,Petrol,796.0,Manual
16850000.0,Bmw,318I,2017,21000.0,Petrol,1500.0,Automatic
8200000.0,Honda,Fit,2015,90000.0,Petrol,1500.0,Automatic
11475000.0,Toyota,Premio,2014,116000.0,Petrol,1500.0,Automatic
14975000.0,Toyota,Yaris Cross,2023,13850.0,Hybrid,1500.0,Automatic
1950000.0,Honda,Civic,1989,180000.0,Petrol,1500.0,Manual
52500000.0,Toyota,Land Cruiser Prado,2023,9000.0,Petrol,2700.0,Automatic
59500000.0,Toyota,Alphard,2024,0.0,Petrol,2500.0,Automatic
36500000.0,Bmw,740E,2017,35000.0,Petrol,2000.0,Automatic
19500000.0,Audi,A5,2018,69000.0,Petrol,1400.0,Automatic
6675000.0,Daihatsu,Mira,2025,0.0,Petrol,660.0,Automatic
15500000.0,Baic,X55 Ii,2025,0.0,Petrol,1500.0,Tiptronic
