url,title_text,price_lkr,brand,model,year,mileage_km,fuel_type,engine_capacity_cc,transmission,location
https://ikman.lk/en/ad/honda-vezel-z-premium-2025-for-sale-colombo-362,Honda Vezel Z Premium 2025 for Sale in Moratuwa | ikman,18750000,Honda,Vezel,2025,0,Hybrid,1500,Automatic,Colombo
https://ikman.lk/en/ad/land-rover-discovery-2015-for-sale-colombo-16,Land Rover Discovery 2015 for Sale in Dehiwala | ikman,31900000,Land Rover,Discovery,2015,102000,Diesel,3000,Tiptronic,Colombo
https://ikman.lk/en/ad/toyota-aqua-hybrid-2013-for-sale-colombo-251,Toyota Aqua Hybrid 2013 for Sale in Dehiwala | ikman,8300000,Toyota,Aqua,2013,48000,Petrol,1500,Automatic,Colombo
https://ikman.lk/en/ad/toyota-yaris-ativ-gr-15-hev-2025-for-sale-colombo-1,Toyota Yaris Ativ GR 1.5 HEV 2025 for Sale in Kohuwala | ikman,18300000,Toyota,Yaris Ativ,2025,0,Hybrid,1500,Automatic,Colombo
https://ikman.lk/en/ad/toyota-land-cruiser-prado-tx-limited-2023-for-sale-colombo-32,Toyota Land Cruiser Prado TX Limited 2023 for Sale in Kohuwala | ikman,51850000,Toyota,Land Cruiser Prado,2023,19000,Petrol,2700,Tiptronic,Colombo
https://ikman.lk/en/ad/ford-raptor-ranger-2l-diesel-bi-turbo-2025-for-sale-colombo-7,Ford Raptor Ranger 2L DIESEL BI-TURBO 2025 for Sale in Kohuwala | ikman,32900000,Ford,Raptor Ranger,2025,0,Diesel,2000,Tiptronic,Colombo
https://ikman.lk/en/ad/suzuki-swift-2005-for-sale-badulla,Suzuki Swift 2005 for Sale in Passara | ikman,4900000,Suzuki,Swift,2005,115000,Petrol,1300,Automatic,
https://ikman.lk/en/ad/audi-a3-advanced-sportsback-2023-for-sale-gampaha,Audi A3 Advanced Sportsback 2023 for Sale in Kiribathgoda | ikman,15800000,Audi,A3,2023,35000,Petrol,1000,Automatic,
https://ikman.lk/en/ad/honda-vezel-ehev-z-2024-for-sale-kandy-1,Honda Vezel E:HEV Z 2024 for Sale in Kandy City | ikman,16000000,Honda,Vezel,2024,10000,Hybrid,1500,Automatic,Kandy
https://ikman.lk/en/ad/honda-vezel-15-ehev-z-2024-for-sale-kandy,Honda Vezel 1.5 eHEV Z 2024 for Sale in Kandy City | ikman,16000000,Honda,Vezel,2024,29000,Hybrid,1500,Automatic,
https://ikman.lk/en/ad/toyota-axio-g-grade-2015-for-sale-kurunegala-111,Toyota Axio G Grade 2015 for Sale in Kurunegala City | ikman,8350000,Toyota,Axio,2015,91000,Hybrid,1500,Automatic,Kurunegala
https://ikman.lk/en/ad/kia-sonet-gtx-plus-new-2025-for-sale-colombo,Kia Sonet GTX Plus New 2025 for Sale in Kohuwala | ikman,12265000,Kia,Other Model,2025,0,Petrol,1000,Tiptronic,
https://ikman.lk/en/ad/kia-sonet-gtx-plus-2026-for-sale-colombo-21,Kia Sonet GTX Plus 2026 for Sale in Dehiwala | ikman,11500000,Kia,Other Model,2026,0,Petrol,1000,Automatic,Colombo
https://ikman.lk/en/ad/ford-focus-titanium-eco-boost-2018-for-sale-gampaha,Ford Focus Titanium Eco Boost 2018 for Sale in Colombo 6 | ikman,12500000,Ford,Focus,2018,93000,Petrol,1000,Tiptronic,
https://ikman.lk/en/ad/toyota-esquire-2015-for-sale-gampaha-3,Toyota Esquire 2015 for Sale in Wattala | ikman,18950000,Toyota,Esquire,2015,104000,Hybrid,1800,Automatic,Gampaha
https://ikman.lk/en/ad/suzuki-wagon-r-vxi-2006-for-sale-kandy-1,Suzuki Wagon R VXI 2006 for Sale in Kandy City | ikman,3500000,Suzuki,Wagon R,2006,62520,Petrol,1061,Manual,Kandy
https://ikman.lk/en/ad/honda-vezel-z-premium-2025-for-sale-colombo-360,Honda Vezel Z Premium 2025 for Sale in Nugegoda | ikman,17800000,Honda,Vezel,2025,1000,Petrol,1500,Automatic,Colombo
https://ikman.lk/en/ad/honda-vezel-hybrid-e-hev-z-2026-for-sale-kandy,Honda Vezel Hybrid e-HEV Z 2026 for Sale in Kandy City | ikman,17950000,Honda,Vezel,2026,0,Hybrid,1500,Tiptronic,
https://ikman.lk/en/ad/bmw-740le-lwb-m-sport-2018-for-sale-colombo-2,BMW 740Le LWB M Sport 2018 for Sale in Colombo 8 | ikman,43500000,BMW,740Le,2018,27000,Petrol,2000,Automatic,Colombo
https://ikman.lk/en/ad/toyota-yaris-ativ-gr-sport-15-hev-2025-for-sale-colombo,Toyota Yaris Ativ GR SPORT 1.5 HEV 2025 for Sale in Kohuwala | ikman,18500000,Toyota,Yaris Ativ,2025,0,Hybrid,1500,Automatic,
https://ikman.lk/en/ad/hyundai-elantra-1999-for-sale-puttalam,Hyundai Elantra 1999 for Sale in Puttalam City | ikman,2750000,Hyundai,Elantra,1999,60200,Petrol,1599,Automatic,
https://ikman.lk/en/ad/mitsubishi-lancer-1979-for-sale-ratnapura-5,Mitsubishi Lancer 1979 for Sale in Balangoda | ikman,1175000,Mitsubishi,Lancer,1979,40000,Petrol,1400,Manual,Ratnapura
https://ikman.lk/en/ad/suzuki-maruti-2007-for-sale-kurunegala-133,Suzuki Maruti 2007 for Sale in Kurunegala City | ikman,2475000,Suzuki,Maruti,2007,70000,Petrol,800,Manual,Kurunegala
https://ikman.lk/en/ad/honda-civic-tech-pack-2018-for-sale-colombo-143,Honda Civic Tech Pack 2018 for Sale in Piliyandala | ikman,12600000,Honda,Civic,2018,79000,Petrol,1000,Automatic,Colombo
https://ikman.lk/en/ad/suzuki-swift-2010-for-sale-puttalam-27,Suzuki Swift 2010 for Sale in Marawila | ikman,6200000,Suzuki,Swift,2010,75000,Petrol,1300,Automatic,Puttalam
https://ikman.lk/en/ad/toyota-hilux-revo-28l-modellista-2025-for-sale-colombo-1,Toyota Hilux REVO 2.8L MODELLISTA 2025 for Sale in Kohuwala | ikman,25800000,Toyota,Hilux,2025,0,Diesel,2800,Tiptronic,Colombo
https://ikman.lk/en/ad/honda-city-rs-turbo-1l-vtec-2025-for-sale-colombo,Honda City RS TURBO 1L VTEC 2025 for Sale in Kohuwala | ikman,13700000,Honda,City,2025,0,Petrol,1000,Tiptronic,
https://ikman.lk/en/ad/mercedes-benz-c200-amgline-2024-for-sale-colombo-17,Mercedes Benz C200 AMGLine 2024 for Sale in Athurugiriya | ikman,33000000,Mercedes Benz,C200,2024,4000,Hybrid,1500,Automatic,Colombo
https://ikman.lk/en/ad/daihatsu-mira-pleo-2023-for-sale-colombo,Daihatsu Mira Pleo 2023 for Sale in Malabe | ikman,6290000,Daihatsu,Mira,2023,20000,Petrol,660,Automatic,
https://ikman.lk/en/ad/toyota-rush-automatic-4x4-suv-2010-for-sale-colombo,Toyota Rush Automatic 4x4 SUV 2010 for Sale in Colombo 5 | ikman,7450000,Toyota,Rush,2010,156000,Petrol,1500,Automatic,
https://ikman.lk/en/ad/hyundai-tucson-2012-for-sale-colombo-574,Hyundai Tucson 2012 for Sale in Maharagama | ikman,7200000,Hyundai,Tucson,2012,130000,Petrol,2000,Automatic,Colombo
https://ikman.lk/en/ad/hyundai-grand-i10-2025-15inch-wheel-for-sale-kurunegala,Hyundai Grand i10 2025 for Sale in Kurunegala City | ikman,8550000,Hyundai,Grand i10,2025,400,Petrol,1200,Tiptronic,
https://ikman.lk/en/ad/suzuki-wagon-r-zx-2026-for-sale-colombo,Suzuki Wagon R ZX 2026 for Sale in Colombo 3 | ikman,9100000,Suzuki,Wagon R ZX,2026,5,Hybrid,660,Automatic,
https://ikman.lk/en/ad/toyota-raize-1200cc-2wd-2023-for-sale-colombo,Toyota Raize 1200cc 2WD 2023 for Sale in Dehiwala | ikman,12850000,Toyota,Raize,2023,9000,Petrol,1200,Automatic,
https://ikman.lk/en/ad/suzuki-alto-800lxi-2013-for-sale-kalutara,Suzuki Alto 800 LXI 2013 for Sale in Bandaragama | ikman,2965000,Suzuki,Alto,2013,94000,Petrol,800,Manual,
